City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,karratha,-20.7377,116.8463,91.94,51,100,12.59,AU,1742367167
136,taoudenni,22.6783,-3.9836,74.26,12,19,6.73,ML,1742367168
137,howard springs,-12.497,131.047,78.71,99,100,2.66,AU,1742367170
138,whitehorse,60.7161,-135.0538,23.77,68,20,10.36,CA,1742367171
139,sovetskaya gavan',48.9723,140.2878,25.79,71,100,5.3,RU,1742367172
140,rio grande,-32.035,-52.0986,65.41,87,0,7.4,BR,1742367173
141,altai,46.3722,96.2583,26.64,36,0,3.44,MN,1742367174
142,iskateley,67.6803,53.1512,17.44,89,100,23.2,RU,1742367175
143,new norfolk,-42.7826,147.0587,71.71,42,90,4.72,AU,1742367177
144,ciudad bolivar,8.1222,-63.5497,78.71,73,62,9.78,VE,1742367178
145,pisco,-13.7,-76.2167,71.65,83,100,4.61,PE,1742367179
146,santa ana,33.7456,-117.8678,54.93,75,0,3.44,US,1742367180
147,ngambe,4.2333,10.6167,73.74,89,100,0.65,CM,1742367182
148,oppdal,62.5943,9.6912,34.72,97,100,4.7,NO,1742367184
149,diego de almagro,-26.3667,-70.05,59.56,65,0,2.82,CL,1742367187
150,si sa ket,14.8333,104.3333,89.46,33,79,12.12,TH,1742367189
151,hasaki,35.7333,140.8333,48.24,54,90,26.55,JP,1742367190
152,barra do corda,-5.5,-45.25,71.15,99,35,2.55,BR,1742367191
153,novodvinsk,64.4165,40.8122,31.75,88,100,10.83,RU,1742367192
154,udachny,66.4167,112.4,26.67,86,100,15.17,RU,1742367193
155,acarau,-2.8856,-40.12,76.39,86,96,3.15,BR,1742367194
156,wuhai,39.6647,106.8122,51.66,11,9,13.04,CN,1742367195
157,ulverstone,-41.15,146.1667,66.72,76,0,3.47,AU,1742367197
158,dhidhdhoo,6.8833,73.1,83.35,72,12,4.92,MV,1742367199
159,nouadhibou,20.931,-17.0347,60.78,82,0,17.27,MR,1742367200
160,quellon,-43.1167,-73.6167,48.36,80,13,8.12,CL,1742367201
161,mount gambier,-37.8333,140.7667,82.6,16,0,9.26,AU,1742367203
162,manchester,53.4809,-2.2374,33.84,83,57,3.47,GB,1742366938
163,alaghsas,17.0187,8.0168,73.29,11,0,8.05,NE,1742367205
164,san patricio,28.017,-97.5169,69.75,85,11,21.63,US,1742367206
165,korla,41.7597,86.1469,51.91,22,0,4.29,CN,1742367207
166,tateyama,34.9833,139.8667,49.24,61,100,11.72,JP,1742367208
167,kargasok,59.0556,80.8572,32.47,98,100,3.83,RU,1742367210
168,flying fish cove,-10.4217,105.6791,83.88,83,100,12.66,CX,1742367211
169,san vicente,-26.6167,-54.1333,61.12,75,0,3.67,AR,1742367212
170,saudarkrokur,65.7461,-19.6394,36.59,86,100,11.1,IS,1742367213
171,kayangel,8.0823,134.7173,82.92,79,100,13.71,PW,1742367214
172,arkhangel'sk,64.5401,40.5433,32.11,86,100,8.95,RU,1742367215
173,susuman,62.7833,148.1667,-0.38,85,100,1.92,RU,1742367217
174,armacao de buzios,-22.7469,-41.8817,73.65,90,100,5.3,BR,1742367218
175,chibougamau,49.9168,-74.3659,13.62,100,0,4.61,CA,1742367219
176,oranjemund,-28.55,16.4333,71.31,67,23,1.66,NA,1742367222
177,saarijarvi,62.7049,25.254,32.16,76,8,13.02,FI,1742367223
178,gadzhiyevo,69.2551,33.3362,28.27,55,99,27.04,RU,1742367224
179,vorkuta,67.5,64.0,13.03,88,56,13.98,RU,1742367225
180,olyokminsk,60.3736,120.4264,35.47,99,100,9.08,RU,1742367226
181,rehoboth,-23.3167,17.0833,67.24,79,100,9.06,NA,1742367227
182,kroya,-7.6331,109.2461,81.34,79,100,2.75,ID,1742367230
183,pedernales,18.0384,-71.744,76.46,69,8,4.25,DO,1742367231
184,taltal,-25.4,-70.4833,63.88,84,87,3.76,CL,1742367232
185,peniche,39.3558,-9.3811,59.2,86,100,31.38,PT,1742367233
186,la ronge,55.1001,-105.2842,8.85,66,100,2.3,CA,1742367234
187,lazaro cardenas,17.9583,-102.2,71.6,85,0,3.06,MX,1742367236
188,tisul',55.7611,88.3122,47.3,70,96,15.93,RU,1742367237
189,port alfred,-33.5906,26.891,73.18,87,0,7.31,ZA,1742367238
190,avarua,-21.2078,-159.775,82.45,74,20,9.22,CK,1742367240
191,guerrero negro,27.9769,-114.0611,57.72,72,6,12.88,MX,1742367241
192,longyearbyen,78.2186,15.6401,-0.56,71,40,6.91,SJ,1742367243
193,katsuura,35.1333,140.3,47.37,68,100,13.51,JP,1742367244
194,kailua-kona,19.6406,-155.9956,72.55,96,98,1.01,US,1742367245
195,dosso,13.049,3.1937,81.09,8,100,9.28,NE,1742367246
196,achacachi,-16.05,-68.6833,41.14,88,100,6.46,BO,1742367247
197,richards bay,-28.783,32.0377,75.34,78,95,8.68,ZA,1742367248
198,tura,25.5198,90.2201,92.5,11,0,7.11,IN,1742367249
199,kayyerkan,69.3786,87.7439,12.27,92,100,13.69,RU,1742367251
200,chonchi,-42.6128,-73.8092,45.12,80,7,1.83,CL,1742367252
201,cabo san lucas,22.8909,-109.9124,68.76,62,0,0.92,MX,1742367138
202,ketchikan,55.3422,-131.6461,40.98,91,100,21.85,US,1742367254
203,lal bahadur nagar,17.3477,78.5576,97.11,23,3,11.5,IN,1742367255
204,sur,22.5667,59.5289,81.0,41,0,8.39,OM,1742367256
205,glucholazy,50.315,17.3836,31.75,42,5,3.22,PL,1742367258
206,umm kaddadah,13.6017,26.6876,86.23,9,76,24.32,SD,1742367259
207,lebu,-37.6167,-73.65,52.66,92,61,14.47,CL,1742367260
208,mwinilunga,-11.7358,24.4293,66.69,87,100,7.11,ZM,1742367261
209,sorong,-0.8833,131.25,83.61,71,100,6.13,ID,1742367262
210,veinticinco de mayo,-35.4323,-60.1727,65.98,96,8,3.0,AR,1742367264
211,ust-nera,64.5667,143.2,0.03,95,100,1.74,RU,1742367265
212,koupela,12.1794,-0.3517,86.07,21,35,6.51,BF,1742367267
213,igrim,63.1906,64.4162,23.22,74,6,8.41,RU,1742367268
214,krasnyy chikoy,50.3643,108.7512,44.65,65,100,3.98,RU,1742367270
215,ancud,-41.8697,-73.8203,51.17,83,96,3.94,CL,1742367271
216,mukalla,14.5425,49.1242,82.44,59,0,8.48,YE,1742367272
217,mejit,10.2753,170.8646,80.38,82,43,23.24,MH,1742367273
218,lycksele,64.5954,18.6735,30.07,69,75,5.75,SE,1742367275
219,hotan,37.0997,79.9269,57.6,11,87,9.91,CN,1742367277
220,palmer,42.1584,-72.3287,32.45,80,0,3.44,US,1742367280
221,kununurra,-15.7667,128.7333,100.38,41,20,4.61,AU,1742367281
222,san luis de la loma,17.2706,-100.8939,76.24,55,9,6.02,MX,1742367282
223,kavieng,-2.5744,150.7967,84.52,71,35,13.51,PG,1742367283
224,lauro de freitas,-12.8944,-38.3272,80.62,74,40,5.75,BR,1742367284
225,vadso,70.0744,29.7487,23.16,68,20,14.97,NO,1742367285
226,rabo de peixe,37.8,-25.5833,51.31,58,40,24.16,PT,1742367287
227,miyaly,48.8844,53.7836,49.98,80,100,11.81,KZ,1742367288
228,barah,13.7,30.3667,88.47,12,89,14.58,SD,1742367289
229,rabaul,-4.1967,152.1721,84.81,64,80,3.27,PG,1742367290
230,aasiaat,68.7098,-52.8699,2.12,95,42,4.88,GL,1742367291
231,puerto real,36.5282,-6.1901,55.56,94,0,4.61,ES,1742367292
232,sabang,5.8933,95.3214,83.53,75,96,18.99,ID,1742367294
233,morehead city,34.7229,-76.726,52.99,68,0,3.44,US,1742367295
234,miringa,10.7312,12.1463,79.9,6,88,7.38,NG,1742367296
235,saipan,15.1355,145.701,86.7,77,40,13.8,MP,1742367297
236,aoulef,26.9667,1.0833,69.01,10,0,7.27,DZ,1742367298
237,santiago de cao,-7.9589,-79.2392,66.33,88,75,6.91,PE,1742367299
238,zheleznogorsk,52.331,35.3711,30.52,74,100,9.75,RU,1742367301
239,aguazul,5.1728,-72.5471,72.19,84,38,3.44,CO,1742367302
240,griffith,41.5284,-87.4237,62.46,57,0,9.22,US,1742367303
241,riachao das neves,-11.7461,-44.91,75.15,48,95,3.0,BR,1742367304
242,piacabucu,-10.4056,-36.4344,78.87,75,84,6.2,BR,1742367305
243,amga,60.8953,131.9608,17.22,74,100,2.39,RU,1742367306
244,margate,51.3813,1.3862,39.87,83,0,8.39,GB,1742367308
245,happy valley-goose bay,53.3168,-60.3315,14.31,52,20,6.91,CA,1742367309
246,tindouf,27.6711,-8.1474,55.85,62,0,8.05,DZ,1742367310
247,general roca,-39.0333,-67.5833,63.25,47,100,10.27,AR,1742367311
248,las vegas,36.175,-115.1372,53.96,23,0,14.97,US,1742367219
249,fada,7.25,4.0667,80.04,86,96,3.71,NG,1742367313
250,blenheim,-41.516,173.9528,62.53,58,91,1.99,NZ,1742367315
251,mme-bafumen,6.3333,10.2333,74.57,45,100,1.45,CM,1742367316
252,orange,33.7,-117.7675,54.75,69,0,1.99,US,1742367253
253,benguela,-12.5763,13.4055,79.97,80,100,2.82,AO,1742367318
254,punta arenas,-53.15,-70.9167,53.71,62,75,14.97,CL,1742367319
255,tolanaro,-25.0319,46.9987,77.23,61,15,14.5,MG,1742367320
256,salavat,53.3837,55.9077,32.67,100,100,7.72,RU,1742367321
257,marsh harbour,26.5412,-77.0636,68.29,56,6,14.9,BS,1742367323
258,cambria,35.5641,-121.0808,46.06,89,8,1.99,US,1742367324
259,coruripe,-10.1256,-36.1756,76.73,82,0,6.17,BR,1742367325
260,ain sefra,32.75,-0.5833,49.33,73,0,5.28,DZ,1742367326
